word,meaning
creative,（形）創造的な
mature,（形）成熟した
flexible,（形）柔軟な
ethnic,（形）民族的な
curious,（形）好奇心の強い
full-time,（形）常勤の
dull,（形）鈍い
awake,（形）目が覚めて
romantic,（形）恋愛の
exclusive,（形）排他的な
ridiculous,（形）馬鹿げた
unnecessary,（形）不要な
delicate,（形）繊細な
short-term,（形）短期の
moderate,（形）適度な
ambitious,（形）野心的な
enthusiastic,（形）熱心な
cruel,（形）残酷な
ugly,（形）醜い
uncomfortable,（形）心地の良くない
beneficial,（形）有益な
mysterious,（形）神秘的な
invisible,（形）目に見えない
cheerful,（形）元気の良い
homeless,（形）家のない
faithful,（形）忠実な
absurd,（形）ばかげた
unclear,（形）不明確な
fake,（形）偽の
unwanted,（形）望まれてない
shiny,（形）光る
ignorant,（形）無知な
unsure,（形）確信がない
up-to-date,（形）最新式の
unbelievable,（形）信じられない
farther,（形）もっと遠い
three-dimensional,（形）３次元の
economical,（形）経済的な
extinct,（形）絶滅した
messy,（形）散らかった
chilly,（形）寒い
fluent,（形）流ちょうな
stressful,（形）ストレスの原因となる
inexpensive,（形）安価な
face-to-face,（形）対面の
scary,（形）恐ろしい
salty,（形）塩気のある
rooftop,（形）屋上にある
leftover,（形）食べ残し
carry-on,（形）機内持ち込みの
eco-friendly,（形）環境に優しい
challenging,（形）やりがいのある
embarrassed,（形）決まりの悪い
disabled,（形）身体障害の
bilingual,（形）二言語使用の
issue,（名）争点
court,（名）裁判所
council,（名）議会
minister,（名）大臣
figure,（名）人物
management,（名）経営
committee,（名）委員会
press,（名）報道機関
bill,（名）請求書
property,（名）財産
principle,（名）原理
investment,（名）投資
comment,（名）論評
procedure,（名）手順
proposal,（名）提案
circumstance,（名）状況
employment,（名）雇用
edge,（名）刃
budget,（名）予算
shot,（名）発砲
career,（名）経歴
possibility,（名）可能性
quarter,（名）４分の１
square,（名）正方形
status,（名）地位
trial,（名）裁判
nation,（名）国民
studio,（名）スタジオ
justice,（名）正義
representative,（名）代理人
consequence,（名）結果
introduction,（名）紹介
reduction,（名）減少
criminal,（名）犯罪者
appointment,（名）約束
border,（名）境界
weapon,（名）武器
temperature,（名）温度
household,（名）所帯
brain,（名）頭脳
specialist,（名）専門家
frame,（名）枠
instrument,（名）道具
location,（名）場所
motion,（名）運動
faith,（名）信頼
literature,（名）文学
soil,（名）土壌
suggestion,（名）提案
principal,（名）校長
roof,（名）屋根
diet,（名）食事
atmosphere,（名）大気
enemy,（名）敵
reward,（名）報酬
citizen,（名）国民
corporation,（名）企業
complaint,（名）不平
supporter,（名）支持者
accommodation,（名）宿泊設備
exception,（名）例外
minority,（名）少数派
gene,（名）遺伝子
quantity,（名）量
rival,（名）ライバル
depth,（名）深さ
chest,（名）胸
habit,（名）習慣
agriculture,（名）農業
efficiency,（名）効率
lecture,（名）講義
laboratory,（名）実験室
custom,（名）慣習
echo,（名）反響
mood,（名）気分
cigarette,（名）巻きタバコ
emotion,（名）感情
harm,（名）害
joy,（名）喜び
workshop,（名）研修会
percentage,（名）パーセント
anxiety,（名）心配
poverty,（名）貧困
barrier,（名）障壁
summary,（名）要約
profile,（名）プロフィール
storage,（名）貯蔵
forecast,（名）予測
salary,（名）給料
brand,（名）ブランド
surgery,（名）外科
patch,（名）継ぎ当て用の布
